1;Абаза,Абазы,Абазе,Абазу,Абазой,Абазе;Абаза
2;Абакан,Абакана,Абакану,Абакан,Абаканом,Абакане;Абакан
3;Абан,Абана,Абану,Абан,Абаном,Абане;Абан
4;Абатский,Абатского,Абатскому,Абатский,Абатским,Абатском;Абатский
5;Абдулино,Абдулина,Абдулину,Абдулино,Абдулином,Абдулине;Абдулино
6;Абезь,Абези,Абези,Абезь,Абезем,Абезе;Абезь
7;Абинск,Абинска,Абинску,Абинск,Абинском,Абинске;Абинск
8;Абрамцево,Абрамцева,Абрамцеву,Абрамцево,Абрамцевом,Абрамцеве;Абрамцево
9;Абрау-Дюрсо,Абрау-Дюрсо,Абрау-Дюрсо,Абрау-Дюрсо,Абрау-Дюрсо,Абрау-Дюрсо;Абрау-Дюрсо
10;Аган,Агана,Агану,Аган,Аганом,Агане;Аган
11;Агаповка,Агаповки,Агаповке,Агаповку,Агаповкой,Агаповке;Агаповка
12;Агвали,Агвали,Агвали,Агвали,Агвали,Агвали;Агвали
13;Агеево,Агеева,Агееву,Агеево,Агеевом,Агееве;Агеево
14;Агинское,Агинского,Агинскому,Агинское,Агинским,Агинском;Агинское
15;Агрыз,Агрыза,Агрызу,Агрыз,Агрызом,Агрызе;Агрыз
16;Адамовка,Адамовки,Адамовке,Адамовку,Адамовкой,Адамовке;Адамовка
17;Адыгейск,Адыгейска,Адыгейску,Адыгейск,Адыгейском,Адыгейске;Адыгейск
18;Азнакаево,Азнакаева,Азнакаеву,Азнакаево,Азнакаевом,Азнакаеве;Азнакаево
19;Азов,Азова,Азову,Азов,Азовом,Азове;Азов
20;Айгунь,Айгуня,Айгуню,Айгунь,Айгунем,Айгуне;Айгунь
21;Айдырлинский,Айдырлинского,Айдырлинскому,Айдырлинский,Айдырлинским,Айдырлинском;Айдырлинский
22;Айкино,Айкина,Айкину,Айкино,Айкином,Айкине;Айкино
23;Ак-Довурак,Ак-Довурака,Ак-Довураку,Ак-Довурак,Ак-Довураком,Ак-Довураке;Ак-Довурак
24;Акбулак,Акбулака,Акбулаку,Акбулак,Акбулаком,Акбулаке;Акбулак
25;Аккермановка,Аккермановки,Аккермановке,Аккермановку,Аккермановкой,Аккермановке;Аккермановка
26;Аксай,Аксая,Аксаю,Аксай,Аксаем,Аксае;Аксай
27;Аксаково,Аксакова,Аксакову,Аксаково,Аксаковом,Аксакове;Аксаково
28;Аксарка,Аксарки,Аксарке,Аксарку,Аксаркой,Аксарке;Аксарка
29;Аксеново-Зиловское,Аксенова-Зиловского,Аксенову-Зиловскому,Аксеново-Зиловское,Аксеновом-Зиловским,Аксенове-Зиловском;Аксеново-Зиловское
30;Аксубаево,Аксубаева,Аксубаеву,Аксубаево,Аксубаевом,Аксубаеве;Аксубаево
31;Акташ,Акташа,Акташу,Акташ,Акташом,Акташе;Акташ
32;Актюбинский,Актюбинского,Актюбинскому,Актюбинский,Актюбинским,Актюбинском;Актюбинский
33;Акутиха,Акутихи,Акутихе,Акутиху,Акутихой,Акутихе;Акутиха
34;Акуша,Акуши,Акуше,Акушу,Акушей,Акуше;Акуша
35;Акша,Акши,Акше,Акшу,Акшей,Акше;Акша
36;Алабино,Алабино,Алабино,Алабино,Алабино,Алабино;Алабино
37;Алагир,Алагира,Алагиру,Алагира,Алагиром,Алагире;Алагир
38;Алапаевск,Алапаевска,Алапаевску,Алапаевска,Алапаевском,Алапаевске;Алапаевск
39;Алатырь,Алатыря,Алатырю,Алатыря,Алатырем,Алатыре;Алатырь
40;Алдан,Алдана,Алдану,Алдан,Алданом,Алдане;Алдан
41;Алейск,Алейска,Алейску,Алейск,Алейском,Алейске;Алейск
42;Александро-Невский,Александра-Невского,Александру-Невскому,Александро-Невский,Александром-Невским,Александре-Невском;Александро-Невский
43;Александров Гай,Александрова Гая,Александрову Гаю,Александров Гай,Александровым Гаем,Александрове Гае;Александров Гай
44;Александров,Александрова,Александрову,Александров,Александровом,Александрове;Александров
45;Александровск-Сахалинский,Александровска-Сахалинского,Александровску-Сахалинскому,Александровск-Сахалинский,Александровском-Сахалинским,Александровске-Сахалинском;Александровск-Сахалинский
46;Александровская,Александровской,Александровской,Александровскую,Александровской,Александровской;Александровская
47;Александровский Завод,Александровского Завода,Александровскому Заводу,Александровский Завод,Александровским Заводом,Александровском Заводе;Александровский Завод
48;Александровское,Александровского,Александровскому,Александровское,Александровским,Александровском;Александровское
49;Алексеевка,Алексеевки,Алексеевке,Алексеевку,Алексеевкой,Алексеевке;Алексеевка
50;Алексеевск,Алексеевска,Алексеевску,Алексеевск,Алексеевском,Алексеевске;Алексеевск
51;Алексеевская,Алексеевской,Алексеевской,Алексеевскую,Алексеевской,Алексеевской;Алексеевская
52;Алексеевское,Алексеевского,Алексеевскому,Алексеевское,Алексеевским,Алексеевском;Алексеевское
53;Алексин,Алексина,Алексину,Алексин,Алексином,Алексине;Алексин
54;Алзамай,Алзамая,Алзамаю,Алзамай,Алзамаем,Алзамае;Алзамай
55;Аликово,Аликова,Аликову,Аликово,Аликовом,Аликове;Аликово
56;Алмазный,Алмазного,Алмазному,Алмазный,Алмазным,Алмазном;Алмазный
57;Алнаши,Алнашей,Алнашам,Алнаши,Алнашами,Алнашах;Алнаши
58;Алтайский,Алтайского,Алтайскому,Алтайский,Алтайским,Алтайском;Алтайский
59;Алтухово,Алтухова,Алтухову,Алтухово,Алтуховом,Алтухове;Алтухово
60;Алтынай,Алтыная,Алтынаю,Алтынай,Алтынаем,Алтынае;Алтынай
61;Алущевск,Алущевска,Алущевску,Алущевск,Алущевском,Алущевске;Алущевск
62;Алыгжер,Алыгжера,Алыгжеру,Алыгжер,Алыгжером,Алыгжере;Алыгжер
63;Альменево,Альменева,Альменеву,Альменево,Альменевом,Альменеве;Альменево
64;Альметьевск,Альметьевска,Альметьевску,Альметьевск,Альметьевском,Альметьевске;Альметьевск
65;Амазар,Амазара,Амазару,Амазар,Амазаром,Амазаре;Амазар
66;Амбарный,Амбарного,Амбарному,Амбарный,Амбарным,Амбарном;Амбарный
67;Амга,Амги,Амге,Амгу,Амгой,Амге;Амга
68;Амдерма,Амдермы,Амдерме,Амдерму,Амдермой,Амдерме;Амдерма
69;Амзя,Амзи,Амзе,Амзю,Амзей,Амзе;Амзя
70;Амурск,Амурска,Амурску,Амурск,Амурском,Амурске;Амурск
71;Анадырь,Анадыря,Анадырю,Анадырь,Анадырем,Анадыре;Анадырь
72;Анапа,Анапы,Анапе,Анапу,Анапой,Анапе;Анапа
73;Анбэцу,Анбэцу,Анбэцу,Анбэцу,Анбэцу,Анбэцу;Анбэцу
74;Ангарск,Ангарска,Ангарску,Ангарск,Ангарском,Ангарске;Ангарск
75;Андреаполь,Андреаполя,Андреаполю,Андреаполя,Андреаполем,Андреаполе;Андреаполь
76;Андреево,Андреева,Андрееву,Андреево,Андреевом,Андрееве;Андреево
77;Андропов,Андропова,Андропову,Андропов,Андроповым,Андропове;Андропов
78;Анжеро-Судженск,Анжеро-Судженска,Анжеро-Судженску,Анжеро-Судженск,Анжеро-Судженском,Анжеро-Судженске;Анжеро-Судженск
79;Анива,Анивы,Аниве,Аниву,Анивой,Аниве;Анива
80;Анна,Анны,Анне,Анну,Анной,Анне;Анна
81;Анопино,Анопина,Анопино,Анопино,Анопино,Анопине;Анопино
82;Антропово,Антропова,Антропову,Антропово,Антроповом,Антропове;Антропово
83;Анучино,Анучина,Анучину,Анучино,Анучином,Анучине;Анучино
84;Анциферово,Анциферова,Анциферову,Анциферово,Анциферовым,Анциферовом;Анциферово
85;Апастово,Апастова,Апастову,Апастово,Апастовом,Апастове;Апастово
86;Апатиты,Апатитов,Апатитам,Апатиты,Апатитами,Апатитах;Апатиты
